Recruitment Diagnostics
=======================

Summary
-------
sigma_rec_dev:          0.35
n:                      20
mean_rec_dev:           0.0620988035075402
sd_rec_dev:             0.137800583841742
max_abs_rec_dev:        0.471719936820822
max_abs_year:           2019
lag1_correlation:       0.410848584968039
roughness:              0.149185095343602
total_rec_prior_nll:    1.78741324561933
interpretation:         Recruitment deviations are modest relative to the prior scale.

Interpretation notes
--------------------
Recruitment deviations should be checked for magnitude, persistence, and
roughness. Large persistent runs can indicate that recruitment is absorbing
misspecified fleet, selectivity, index, or catch processes rather than
representing biological recruitment variation.

Rows
----
index,year,rec_dev,recruitment_multiplier,prior_z,prior_nll
0,2001,0.0553835354409027,1.05694591316417,0.158238672688293,0.0125197387670764
1,2002,0.0678916722421793,1.07024936448495,0.193976206406227,0.0188133843258755
2,2003,0.077065675342787,1.08011301085549,0.220187643836534,0.0242412992491423
3,2004,0.0839519998965578,1.08757668876235,0.239862856847308,0.0287670950474761
4,2005,0.0890683289904049,1.09315534797578,0.254480939972585,0.0323802744046653
5,2006,0.0942260841255917,1.09880814091476,0.269217383215976,0.0362389997128289
6,2007,0.0991207401879607,1.10419961277938,0.283202114822745,0.0401017189200376
7,2008,0.104709738152802,1.11038826022748,0.299170680436576,0.0447515480164419
8,2009,0.112429803989669,1.11899370526211,0.321228011399053,0.0515937176536951
9,2010,0.128659942510078,1.13730330989107,0.367599835743081,0.06756481961917
10,2011,0.162658651442068,1.17663497847748,0.464739004120195,0.107991170975315
11,2012,0.161783964898476,1.1756062416718,0.462239899709932,0.106832862441924
12,2013,0.103527642618398,1.10907645071844,0.295793264623994,0.0437468276984601
13,2014,0.0854150435585414,1.08916902548881,0.244042981595833,0.0297784884330919
14,2015,0.111510270896722,1.11796522645194,0.318600773990634,0.0507532265937156
15,2016,0.139076385506461,1.14921187978248,0.397361101447033,0.0789479224715996
16,2017,0.130015968266045,1.13884656858442,0.371474195045843,0.0689965387924784
17,2018,-0.0927994410940189,0.911376266594789,-0.265141260268625,0.0351499439484175
18,2019,-0.471719936820822,0.62392822777406,-1.34777124805949,0.90824366854792
19,2020,0,1,0,0
